rank,occupation,soc_code,entry_education,median_annual_wage_usd,p10_annual_wage_usd,p90_annual_wage_usd,job_outlook_pct_2024_34_or_2025_35,bls_data_year,bls_source_url,wagelark_page
1,Air Traffic Controllers,53-2021,Associate's degree,144580,76090,210410,1,May 2024,https://www.bls.gov/ooh/transportation-and-material-moving/air-traffic-controllers.htm,https://wagelark.com/air-traffic-controller-salary/
2,Magnetic Resonance Imaging Technologists,29-2035,Associate's degree,95480,68890,127670,8,May 2025,https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,https://wagelark.com/mri-tech-salary/
3,Dental Hygienists,29-1292,Associate's degree,94260,66470,120060,7,May 2024,https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,https://wagelark.com/dental-hygienist-salary/
4,Electrical Power-Line Installers and Repairers,49-9051,High school diploma or equivalent,92560,50020,126610,7,May 2024,https://www.bls.gov/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm,https://wagelark.com/how-to-become-a-lineman/
5,Diagnostic Medical Sonographers,29-2032,Associate's degree,89340,64760,123170,13,May 2024,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,https://wagelark.com/ultrasound-tech-salary/
6,Respiratory Therapists,29-1126,Associate's degree,80450,61900,108820,12,May 2024,https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm,https://wagelark.com/respiratory-therapist-salary/
7,Radiologic Technologists and Technicians,29-2034,Associate's degree,77660,52360,106990,4,May 2024,https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,https://wagelark.com/radiology-tech-salary/
8,Court Reporters and Simultaneous Captioners,27-3092,Postsecondary nondegree award,67310,39100,127020,0,May 2024,https://www.bls.gov/ooh/legal/court-reporters.htm,https://wagelark.com/how-to-become-a-court-reporter/
9,Flight Attendants,53-2031,High school diploma or equivalent,67130,34030,138040,9,May 2024,https://www.bls.gov/ooh/transportation-and-material-moving/flight-attendants.htm,https://wagelark.com/how-much-do-flight-attendants-make/
10,Millwrights,49-9044,High school diploma or equivalent,65170,,,0,May 2024,https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,https://wagelark.com/what-does-a-millwright-do/
11,"Plumbers, Pipefitters, and Steamfitters",47-2152,High school diploma or equivalent,62970,40670,105150,4,May 2024,https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,https://wagelark.com/plumbing-apprenticeship/
12,Surgical Technologists,29-2055,Postsecondary nondegree award,62830,,,4.5,May 2024,https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,https://wagelark.com/surgical-tech-salary/
13,Electricians,47-2111,High school diploma or equivalent,62350,39430,106030,9,May 2024,https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,https://wagelark.com/electrician-salary/
14,Paralegals and Legal Assistants,23-2011,Associate's degree,61010,39710,98990,0,May 2024,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm,https://wagelark.com/how-to-become-a-paralegal/
15,Chefs and Head Cooks,35-1011,High school diploma or equivalent,60990,36000,96030,7,May 2024,https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm,https://wagelark.com/chef-salary/
16,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021,Postsecondary nondegree award,59810,39130,91020,8,May 2024,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,https://wagelark.com/hvac-certification/
17,Firefighters,33-2011,Postsecondary nondegree award,59530,34490,101330,3,May 2024,https://www.bls.gov/ooh/protective-service/firefighters.htm,https://wagelark.com/firefighter-salary/
18,Paramedics,29-2043,Postsecondary nondegree award,58410,,,5,May 2024,https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,https://wagelark.com/how-to-become-a-paramedic/
19,Heavy and Tractor-trailer Truck Drivers,53-3032,Postsecondary nondegree award,57440,38640,78800,4,May 2024,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,https://wagelark.com/truck-driver-salary/
20,"Morticians, Undertakers, and Funeral Arrangers",39-4031,Associate's degree,55010,33350,88620,3,May 2025,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,https://wagelark.com/funeral-director-salary/
21,"Welders, Cutters, Solderers, and Brazers",51-4121,High school diploma or equivalent,51000,38130,75850,2,May 2024,https://www.bls.gov/ooh/production/welders-cutters-solderers-and-brazers.htm,https://wagelark.com/welder-salary/
22,"Bookkeeping, Accounting, and Auditing Clerks",43-3031,"Some college, no degree",49210,34600,72660,-6,May 2024,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,https://wagelark.com/what-does-a-bookkeeper-do/
23,Dental Assistants,31-9091,Postsecondary nondegree award,47300,36190,61780,6,May 2024,https://www.bls.gov/ooh/healthcare/dental-assistants.htm,https://wagelark.com/dental-assistant-salary/
24,Veterinary Technologists and Technicians,29-2056,Associate's degree,45980,32120,60880,9,May 2024,https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,https://wagelark.com/veterinary-technician-salary/
25,Medical Assistants,31-9092,Postsecondary nondegree award,45690,36050,59310,13,May 2025,https://www.bls.gov/ooh/healthcare/medical-assistants.htm,https://wagelark.com/medical-assistant-salary/
26,Phlebotomists,31-9097,Postsecondary nondegree award,43660,,,6,May 2024,https://www.bls.gov/ooh/healthcare/phlebotomists.htm,https://wagelark.com/how-to-become-a-phlebotomist/
27,Pharmacy Technicians,29-2052,High school diploma or equivalent,43460,35100,59450,6,May 2024,https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm,https://wagelark.com/pharmacy-technician-salary/
28,Nursing Assistants,31-1131,State-approved training program,39530,31390,50140,2,May 2024,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,https://wagelark.com/how-to-become-a-cna/
29,Bartenders,35-3011,No formal educational credential,33530,,,6,May 2024,https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm,https://wagelark.com/how-to-become-a-bartender/
